r,t,y,AnnualFixedOperatingCost
RE1,PHL_DEM_PUB_GWT_WAT,2043,0
RE1,PHL_DEM_PUB_GWT_WAT,2044,0
RE1,PHL_DEM_PUB_GWT_WAT,2045,0
RE1,PHL_DEM_PUB_GWT_WAT,2046,0
RE1,PHL_DEM_PUB_GWT_WAT,2047,0
RE1,PHL_DEM_PUB_GWT_WAT,2048,0
RE1,PHL_DEM_PUB_GWT_WAT,2049,0
RE1,PHL_DEM_PUB_GWT_WAT,2050,0
RE1,PHL_DEM_PUB_GWT_WAT,2051,0
RE1,PHL_DEM_PUB_GWT_WAT,2052,0
RE1,PHL_DEM_PUB_GWT_WAT,2053,0
RE1,PHL_DEM_PUB_SUR_WAT,2020,0
RE1,PHL_DEM_PUB_SUR_WAT,2021,0
RE1,PHL_DEM_PUB_SUR_WAT,2022,0
RE1,PHL_DEM_PUB_SUR_WAT,2023,0
RE1,PHL_DEM_PUB_SUR_WAT,2024,0
RE1,PHL_DEM_PUB_SUR_WAT,2025,0
RE1,PHL_DEM_PUB_SUR_WAT,2026,0
RE1,PHL_DEM_PUB_SUR_WAT,2027,0
RE1,PHL_DEM_PUB_SUR_WAT,2028,0
RE1,PHL_DEM_PUB_SUR_WAT,2029,0
RE1,PHL_DEM_PUB_SUR_WAT,2030,0
RE1,PHL_DEM_PUB_SUR_WAT,2031,0
RE1,PHL_DEM_PUB_SUR_WAT,2032,0
RE1,PHL_DEM_PUB_SUR_WAT,2033,0
RE1,PHL_DEM_PUB_SUR_WAT,2034,0
RE1,PHL_DEM_PUB_SUR_WAT,2035,0
RE1,PHL_DEM_PUB_SUR_WAT,2036,0
RE1,PHL_DEM_PUB_SUR_WAT,2037,0
RE1,PHL_DEM_PUB_SUR_WAT,2038,0
RE1,PHL_DEM_PUB_SUR_WAT,2039,0
RE1,PHL_DEM_PUB_SUR_WAT,2040,0
RE1,PHL_DEM_PUB_SUR_WAT,2041,0
RE1,PHL_DEM_PUB_SUR_WAT,2042,0
RE1,PHL_DEM_PUB_SUR_WAT,2043,0
RE1,PHL_DEM_PUB_SUR_WAT,2044,0
RE1,PHL_DEM_PUB_SUR_WAT,2045,0
RE1,PHL_DEM_PUB_SUR_WAT,2046,0
RE1,PHL_DEM_PUB_SUR_WAT,2047,0
RE1,PHL_DEM_PUB_SUR_WAT,2048,0
RE1,PHL_DEM_PUB_SUR_WAT,2049,0
RE1,PHL_DEM_PUB_SUR_WAT,2050,0
RE1,PHL_DEM_PUB_SUR_WAT,2051,0
RE1,PHL_DEM_PUB_SUR_WAT,2052,0
RE1,PHL_DEM_PUB_SUR_WAT,2053,0
RE1,PHL_MIN_PRC,2020,0
RE1,PHL_MIN_PRC,2021,0
RE1,PHL_MIN_PRC,2022,0
RE1,PHL_MIN_PRC,2023,0
RE1,PHL_MIN_PRC,2024,0
RE1,PHL_MIN_PRC,2025,0
RE1,PHL_MIN_PRC,2026,0
RE1,PHL_MIN_PRC,2027,0
RE1,PHL_MIN_PRC,2028,0
RE1,PHL_MIN_PRC,2029,0
RE1,PHL_MIN_PRC,2030,0
RE1,PHL_MIN_PRC,2031,0
RE1,PHL_MIN_PRC,2032,0
RE1,PHL_MIN_PRC,2033,0
RE1,PHL_MIN_PRC,2034,0
RE1,PHL_MIN_PRC,2035,0
RE1,PHL_MIN_PRC,2036,0
RE1,PHL_MIN_PRC,2037,0
RE1,PHL_MIN_PRC,2038,0
RE1,PHL_MIN_PRC,2039,0
RE1,PHL_MIN_PRC,2040,0
RE1,PHL_MIN_PRC,2041,0
RE1,PHL_MIN_PRC,2042,0
RE1,PHL_MIN_PRC,2043,0
RE1,PHL_MIN_PRC,2044,0
RE1,PHL_MIN_PRC,2045,0
RE1,PHL_MIN_PRC,2046,0
RE1,PHL_MIN_PRC,2047,0
RE1,PHL_MIN_PRC,2048,0
RE1,PHL_MIN_PRC,2049,0
RE1,PHL_MIN_PRC,2050,0
RE1,PHL_MIN_PRC,2051,0
RE1,PHL_MIN_PRC,2052,0
RE1,PHL_MIN_PRC,2053,0
RE1,PHL_AGR_MOT_ELE,2020,0
RE1,PHL_AGR_MOT_ELE,2021,0
RE1,PHL_AGR_MOT_ELE,2022,0
RE1,PHL_AGR_MOT_ELE,2023,0
RE1,PHL_AGR_MOT_ELE,2024,0
RE1,PHL_AGR_MOT_ELE,2025,0
RE1,PHL_AGR_MOT_ELE,2026,0
RE1,PHL_AGR_MOT_ELE,2027,0
RE1,PHL_AGR_MOT_ELE,2028,0
RE1,PHL_AGR_MOT_ELE,2029,0
RE1,PHL_AGR_MOT_ELE,2030,0
RE1,PHL_AGR_MOT_ELE,2031,0
RE1,PHL_AGR_MOT_ELE,2032,0
RE1,PHL_AGR_MOT_ELE,2033,0
RE1,PHL_AGR_MOT_ELE,2034,0
RE1,PHL_AGR_MOT_ELE,2035,0
RE1,PHL_AGR_MOT_ELE,2036,0
RE1,PHL_AGR_MOT_ELE,2037,0
RE1,PHL_AGR_MOT_ELE,2038,0
RE1,PHL_AGR_MOT_ELE,2039,0
RE1,PHL_AGR_MOT_ELE,2040,0
RE1,PHL_AGR_MOT_ELE,2041,0
RE1,PHL_AGR_MOT_ELE,2042,0
RE1,PHL_AGR_MOT_ELE,2043,0
RE1,PHL_AGR_MOT_ELE,2044,0
RE1,PHL_AGR_MOT_ELE,2045,0
RE1,PHL_AGR_MOT_ELE,2046,0
RE1,PHL_AGR_MOT_ELE,2047,0
RE1,PHL_AGR_MOT_ELE,2048,0
RE1,PHL_AGR_MOT_ELE,2049,0
RE1,PHL_AGR_MOT_ELE,2050,0
RE1,PHL_AGR_MOT_ELE,2051,0
RE1,PHL_AGR_MOT_ELE,2052,0
RE1,PHL_AGR_MOT_ELE,2053,0
RE1,PHL_AGR_MOT_LIQ,2020,258.9921
RE1,PHL_AGR_MOT_LIQ,2021,264.8225
RE1,PHL_AGR_MOT_LIQ,2022,270.6529
RE1,PHL_AGR_MOT_LIQ,2023,276.4833
RE1,PHL_AGR_MOT_LIQ,2024,282.3137
RE1,PHL_AGR_MOT_LIQ,2025,288.144
RE1,PHL_AGR_MOT_LIQ,2026,294.4654
RE1,PHL_AGR_MOT_LIQ,2027,300.7868
RE1,PHL_AGR_MOT_LIQ,2028,307.1081
RE1,PHL_AGR_MOT_LIQ,2029,313.4295
RE1,PHL_AGR_MOT_LIQ,2030,319.7508
RE1,PHL_AGR_MOT_LIQ,2031,326.9326
RE1,PHL_AGR_MOT_LIQ,2032,334.1143
RE1,PHL_AGR_MOT_LIQ,2033,341.296
RE1,PHL_AGR_MOT_LIQ,2034,348.4777
RE1,PHL_AGR_MOT_LIQ,2035,355.6594
RE1,PHL_AGR_MOT_LIQ,2036,364.2035
RE1,PHL_AGR_MOT_LIQ,2037,372.7475
RE1,PHL_AGR_MOT_LIQ,2038,381.2916
RE1,PHL_AGR_MOT_LIQ,2039,389.8356
RE1,PHL_AGR_MOT_LIQ,2040,398.3797
RE1,PHL_AGR_MOT_LIQ,2041,408.3247
RE1,PHL_AGR_MOT_LIQ,2042,418.2698
RE1,PHL_AGR_MOT_LIQ,2043,428.2148
RE1,PHL_AGR_MOT_LIQ,2044,438.1599
RE1,PHL_AGR_MOT_LIQ,2045,448.105
RE1,PHL_AGR_MOT_LIQ,2046,459.4445
RE1,PHL_AGR_MOT_LIQ,2047,470.784
RE1,PHL_AGR_MOT_LIQ,2048,482.1235
RE1,PHL_AGR_MOT_LIQ,2049,493.463
RE1,PHL_AGR_MOT_LIQ,2050,504.8025
RE1,PHL_AGR_MOT_LIQ,2051,517.2698
RE1,PHL_AGR_MOT_LIQ,2052,529.737
RE1,PHL_AGR_MOT_LIQ,2053,542.2043
RE1,PHL_AGR_UNIT,2020,0
RE1,PHL_AGR_UNIT,2021,0
RE1,PHL_AGR_UNIT,2022,0
RE1,PHL_AGR_UNIT,2023,0
RE1,PHL_AGR_UNIT,2024,0
RE1,PHL_AGR_UNIT,2025,0
RE1,PHL_AGR_UNIT,2026,0
RE1,PHL_AGR_UNIT,2027,0
RE1,PHL_AGR_UNIT,2028,0
RE1,PHL_AGR_UNIT,2029,0
RE1,PHL_AGR_UNIT,2030,0
RE1,PHL_AGR_UNIT,2031,0
RE1,PHL_AGR_UNIT,2032,0
RE1,PHL_AGR_UNIT,2033,0
RE1,PHL_AGR_UNIT,2034,0
RE1,PHL_AGR_UNIT,2035,0
RE1,PHL_AGR_UNIT,2036,0
RE1,PHL_AGR_UNIT,2037,0
RE1,PHL_AGR_UNIT,2038,0
RE1,PHL_AGR_UNIT,2039,0
RE1,PHL_AGR_UNIT,2040,0
RE1,PHL_AGR_UNIT,2041,0
RE1,PHL_AGR_UNIT,2042,0
RE1,PHL_AGR_UNIT,2043,0
RE1,PHL_AGR_UNIT,2044,0
RE1,PHL_AGR_UNIT,2045,0
RE1,PHL_AGR_UNIT,2046,0
RE1,PHL_AGR_UNIT,2047,0
RE1,PHL_AGR_UNIT,2048,0
RE1,PHL_AGR_UNIT,2049,0
RE1,PHL_AGR_UNIT,2050,0
RE1,PHL_AGR_UNIT,2051,0
RE1,PHL_AGR_UNIT,2052,0
RE1,PHL_AGR_UNIT,2053,0
RE1,PHL_AGR_FAC,2020,0
RE1,PHL_AGR_FAC,2021,0
RE1,PHL_AGR_FAC,2022,0
RE1,PHL_AGR_FAC,2023,0
RE1,PHL_AGR_FAC,2024,0
RE1,PHL_AGR_FAC,2025,0
RE1,PHL_AGR_FAC,2026,0
RE1,PHL_AGR_FAC,2027,0
RE1,PHL_AGR_FAC,2028,0
RE1,PHL_AGR_FAC,2029,0
RE1,PHL_AGR_FAC,2030,0
RE1,PHL_AGR_FAC,2031,0
RE1,PHL_AGR_FAC,2032,0
RE1,PHL_AGR_FAC,2033,0
RE1,PHL_AGR_FAC,2034,0
RE1,PHL_AGR_FAC,2035,0
RE1,PHL_AGR_FAC,2036,0
RE1,PHL_AGR_FAC,2037,0
RE1,PHL_AGR_FAC,2038,0
RE1,PHL_AGR_FAC,2039,0
RE1,PHL_AGR_FAC,2040,0
RE1,PHL_AGR_FAC,2041,0
RE1,PHL_AGR_FAC,2042,0
RE1,PHL_AGR_FAC,2043,0
RE1,PHL_AGR_FAC,2044,0
RE1,PHL_AGR_FAC,2045,0
RE1,PHL_AGR_FAC,2046,0
RE1,PHL_AGR_FAC,2047,0
RE1,PHL_AGR_FAC,2048,0
RE1,PHL_AGR_FAC,2049,0
RE1,PHL_AGR_FAC,2050,0
RE1,PHL_AGR_FAC,2051,0
RE1,PHL_AGR_FAC,2052,0
RE1,PHL_AGR_FAC,2053,0
RE1,PHL_AGR_HEAT_OIL,2020,0.4512
RE1,PHL_AGR_HEAT_OIL,2021,0.4548
RE1,PHL_AGR_HEAT_OIL,2022,0.458
RE1,PHL_AGR_HEAT_OIL,2023,0.4608
RE1,PHL_AGR_HEAT_OIL,2024,0.4633
RE1,PHL_AGR_HEAT_OIL,2025,0.4654
RE1,PHL_AGR_HEAT_OIL,2026,0.4673
RE1,PHL_AGR_HEAT_OIL,2027,0.4688
RE1,PHL_AGR_HEAT_OIL,2028,0.4702
RE1,PHL_AGR_HEAT_OIL,2029,0.4714
RE1,PHL_AGR_HEAT_OIL,2030,0.487
RE1,PHL_AGR_HEAT_OIL,2031,0.4863
RE1,PHL_AGR_HEAT_OIL,2032,0.4856
RE1,PHL_AGR_HEAT_OIL,2033,0.4849
RE1,PHL_AGR_HEAT_OIL,2034,0.4842
RE1,PHL_AGR_HEAT_OIL,2035,0.4835
RE1,PHL_AGR_HEAT_OIL,2036,0.4828
RE1,PHL_AGR_HEAT_OIL,2037,0.4822
RE1,PHL_AGR_HEAT_OIL,2038,0.4815
RE1,PHL_AGR_HEAT_OIL,2039,0.4808
RE1,PHL_AGR_HEAT_OIL,2040,0.4801
RE1,PHL_AGR_HEAT_OIL,2041,0.4794
RE1,PHL_AGR_HEAT_OIL,2042,0.478
RE1,PHL_AGR_HEAT_OIL,2043,0.478
RE1,PHL_AGR_HEAT_OIL,2044,0.478
RE1,PHL_AGR_HEAT_OIL,2045,0
RE1,PHL_AGR_HEAT_OIL,2046,0
RE1,PHL_AGR_HEAT_OIL,2047,0
RE1,PHL_AGR_HEAT_OIL,2048,0
RE1,PHL_AGR_HEAT_OIL,2049,0
RE1,PHL_AGR_HEAT_OIL,2050,0
RE1,PHL_AGR_HEAT_OIL,2051,0
RE1,PHL_AGR_HEAT_OIL,2052,0
RE1,PHL_AGR_HEAT_OIL,2053,0
RE1,PHL_AGR_HEAT_NG,2020,2.4405
RE1,PHL_AGR_HEAT_NG,2021,2.5553
RE1,PHL_AGR_HEAT_NG,2022,2.6389
RE1,PHL_AGR_HEAT_NG,2023,2.7214
RE1,PHL_AGR_HEAT_NG,2024,2.8028
RE1,PHL_AGR_HEAT_NG,2025,2.8833
RE1,PHL_AGR_HEAT_NG,2026,2.9682
RE1,PHL_AGR_HEAT_NG,2027,3.0524
RE1,PHL_AGR_HEAT_NG,2028,3.1358
RE1,PHL_AGR_HEAT_NG,2029,3.2185
RE1,PHL_AGR_HEAT_NG,2030,3.396
RE1,PHL_AGR_HEAT_NG,2031,3.4797
RE1,PHL_AGR_HEAT_NG,2032,3.5634
RE1,PHL_AGR_HEAT_NG,2033,3.6471
RE1,PHL_AGR_HEAT_NG,2034,3.7308
RE1,PHL_AGR_HEAT_NG,2035,3.8145
RE1,PHL_AGR_HEAT_NG,2036,3.914
RE1,PHL_AGR_HEAT_NG,2037,4.0135
RE1,PHL_AGR_HEAT_NG,2038,4.1129
RE1,PHL_AGR_HEAT_NG,2039,4.2124
RE1,PHL_AGR_HEAT_NG,2040,4.2799
RE1,PHL_AGR_HEAT_NG,2041,4.2759
RE1,PHL_AGR_HEAT_NG,2042,4.2719
RE1,PHL_AGR_HEAT_NG,2043,4.2677
RE1,PHL_AGR_HEAT_NG,2044,4.2677
RE1,PHL_AGR_HEAT_NG,2045,3.0437
RE1,PHL_AGR_HEAT_NG,2046,2.9389
RE1,PHL_AGR_HEAT_NG,2047,2.8669
RE1,PHL_AGR_HEAT_NG,2048,2.7948
RE1,PHL_AGR_HEAT_NG,2049,2.7228
RE1,PHL_AGR_HEAT_NG,2050,5.8518
RE1,PHL_AGR_HEAT_NG,2051,5.9963
RE1,PHL_AGR_HEAT_NG,2052,6.1409
RE1,PHL_AGR_HEAT_NG,2053,6.2854
RE1,PHL_AGR_HEAT_ELE,2020,0
RE1,PHL_AGR_HEAT_ELE,2021,0
RE1,PHL_AGR_HEAT_ELE,2022,0
RE1,PHL_AGR_HEAT_ELE,2023,0
RE1,PHL_AGR_HEAT_ELE,2024,0
RE1,PHL_AGR_HEAT_ELE,2025,0
RE1,PHL_AGR_HEAT_ELE,2026,0
RE1,PHL_AGR_HEAT_ELE,2027,0
RE1,PHL_AGR_HEAT_ELE,2028,0
RE1,PHL_AGR_HEAT_ELE,2029,0
RE1,PHL_AGR_HEAT_ELE,2030,0
RE1,PHL_AGR_HEAT_ELE,2031,0
RE1,PHL_AGR_HEAT_ELE,2032,0
RE1,PHL_AGR_HEAT_ELE,2033,0
RE1,PHL_AGR_HEAT_ELE,2034,0
RE1,PHL_AGR_HEAT_ELE,2035,0
RE1,PHL_AGR_HEAT_ELE,2036,0
RE1,PHL_AGR_HEAT_ELE,2037,0
RE1,PHL_AGR_HEAT_ELE,2038,0
RE1,PHL_AGR_HEAT_ELE,2039,0
RE1,PHL_AGR_HEAT_ELE,2040,0
RE1,PHL_AGR_HEAT_ELE,2041,0
RE1,PHL_AGR_HEAT_ELE,2042,0
RE1,PHL_AGR_HEAT_ELE,2043,0
RE1,PHL_AGR_HEAT_ELE,2044,0
RE1,PHL_AGR_HEAT_ELE,2045,0
RE1,PHL_AGR_HEAT_ELE,2046,0
RE1,PHL_AGR_HEAT_ELE,2047,0
RE1,PHL_AGR_HEAT_ELE,2048,0
RE1,PHL_AGR_HEAT_ELE,2049,0
RE1,PHL_AGR_HEAT_ELE,2050,0
RE1,PHL_AGR_HEAT_ELE,2051,0
RE1,PHL_AGR_HEAT_ELE,2052,0
RE1,PHL_AGR_HEAT_ELE,2053,0
RE1,PHL_AGR_HEAT_COAL,2020,0
RE1,PHL_AGR_HEAT_COAL,2021,0
RE1,PHL_AGR_HEAT_COAL,2022,0
RE1,PHL_AGR_HEAT_COAL,2023,0
RE1,PHL_AGR_HEAT_COAL,2024,0
RE1,PHL_AGR_HEAT_COAL,2025,0
RE1,PHL_AGR_HEAT_COAL,2026,0
RE1,PHL_AGR_HEAT_COAL,2027,0
RE1,PHL_AGR_HEAT_COAL,2028,0
RE1,PHL_AGR_HEAT_COAL,2029,0
RE1,PHL_AGR_HEAT_COAL,2030,0
RE1,PHL_AGR_HEAT_COAL,2031,0
RE1,PHL_AGR_HEAT_COAL,2032,0
RE1,PHL_AGR_HEAT_COAL,2033,0
RE1,PHL_AGR_HEAT_COAL,2034,0
RE1,PHL_AGR_HEAT_COAL,2035,0
RE1,PHL_AGR_HEAT_COAL,2036,0
RE1,PHL_AGR_HEAT_COAL,2037,0
RE1,PHL_AGR_HEAT_COAL,2038,0
RE1,PHL_AGR_HEAT_COAL,2039,0
RE1,PHL_AGR_HEAT_COAL,2040,0
RE1,PHL_AGR_HEAT_COAL,2041,0
RE1,PHL_AGR_HEAT_COAL,2042,0
RE1,PHL_AGR_HEAT_COAL,2043,0
RE1,PHL_AGR_HEAT_COAL,2044,0
RE1,PHL_AGR_HEAT_COAL,2045,0
RE1,PHL_AGR_HEAT_COAL,2046,0
RE1,PHL_AGR_HEAT_COAL,2047,0
RE1,PHL_AGR_HEAT_COAL,2048,0
RE1,PHL_AGR_HEAT_COAL,2049,0
RE1,PHL_AGR_HEAT_COAL,2050,0
RE1,PHL_AGR_HEAT_COAL,2051,0
RE1,PHL_AGR_HEAT_COAL,2052,0
RE1,PHL_AGR_HEAT_COAL,2053,0
RE1,PHL_AGR_HEAT_BIOM,2020,0.1835
RE1,PHL_AGR_HEAT_BIOM,2021,0.1825
RE1,PHL_AGR_HEAT_BIOM,2022,0.182
RE1,PHL_AGR_HEAT_BIOM,2023,0.181
RE1,PHL_AGR_HEAT_BIOM,2024,0.1805
RE1,PHL_AGR_HEAT_BIOM,2025,0.1799
RE1,PHL_AGR_HEAT_BIOM,2026,0.1789
RE1,PHL_AGR_HEAT_BIOM,2027,0.1784
RE1,PHL_AGR_HEAT_BIOM,2028,0.1774
RE1,PHL_AGR_HEAT_BIOM,2029,0.1769
RE1,PHL_AGR_HEAT_BIOM,2030,0.1759
RE1,PHL_AGR_HEAT_BIOM,2031,0.1753
RE1,PHL_AGR_HEAT_BIOM,2032,0.1748
RE1,PHL_AGR_HEAT_BIOM,2033,0.1738
RE1,PHL_AGR_HEAT_BIOM,2034,0.1733
RE1,PHL_AGR_HEAT_BIOM,2035,0.1723
RE1,PHL_AGR_HEAT_BIOM,2036,0.1719
RE1,PHL_AGR_HEAT_BIOM,2037,0.1714
RE1,PHL_AGR_HEAT_BIOM,2038,0.1705
RE1,PHL_AGR_HEAT_BIOM,2039,0.1701
RE1,PHL_AGR_HEAT_BIOM,2040,0.1688
RE1,PHL_AGR_HEAT_BIOM,2041,0.1682
RE1,PHL_AGR_HEAT_BIOM,2042,0.1673
RE1,PHL_AGR_HEAT_BIOM,2043,0.1669
RE1,PHL_AGR_HEAT_BIOM,2044,0.1665
RE1,PHL_AGR_HEAT_BIOM,2045,0
RE1,PHL_AGR_HEAT_BIOM,2046,0
