r,t,y,AnnualVariableOperatingCost
RE1,PHL_PWR_GAS,2033,0.0
RE1,PHL_PWR_GAS,2034,0.0
RE1,PHL_PWR_GAS,2035,0.0
RE1,PHL_PWR_GAS,2036,0.0
RE1,PHL_PWR_GAS,2037,0.0
RE1,PHL_PWR_GAS,2038,0.0
RE1,PHL_PWR_GAS,2039,0.0
RE1,PHL_PWR_GAS,2040,0.0
RE1,PHL_PWR_GAS,2041,0.0
RE1,PHL_PWR_GAS,2042,0.0
RE1,PHL_PWR_GAS,2043,0.0
RE1,PHL_PWR_GAS,2044,0.0
RE1,PHL_PWR_GAS,2045,0.0
RE1,PHL_PWR_GAS,2046,0.0
RE1,PHL_PWR_GAS,2047,0.0
RE1,PHL_PWR_GAS,2048,0.0
RE1,PHL_PWR_GAS,2049,0.0
RE1,PHL_PWR_GAS,2050,0.0
RE1,PHL_PWR_GAS,2051,0.0
RE1,PHL_PWR_GAS,2052,0.0
RE1,PHL_PWR_GAS,2053,0.0
RE1,PHL_DEM_PWR_GWT_WAT,2020,0.0001
RE1,PHL_DEM_PWR_GWT_WAT,2021,0.0005
RE1,PHL_DEM_PWR_GWT_WAT,2022,0.0005
RE1,PHL_DEM_PWR_GWT_WAT,2023,0.0005
RE1,PHL_DEM_PWR_GWT_WAT,2024,0.0005
RE1,PHL_DEM_PWR_GWT_WAT,2025,0.0004
RE1,PHL_DEM_PWR_GWT_WAT,2026,0.0004
RE1,PHL_DEM_PWR_GWT_WAT,2027,0.0004
RE1,PHL_DEM_PWR_GWT_WAT,2028,0.0005
RE1,PHL_DEM_PWR_GWT_WAT,2029,0.0005
RE1,PHL_DEM_PWR_GWT_WAT,2030,0.0002
RE1,PHL_DEM_PWR_GWT_WAT,2031,0.0005
RE1,PHL_DEM_PWR_GWT_WAT,2032,0.0005
RE1,PHL_DEM_PWR_GWT_WAT,2033,0.0005
RE1,PHL_DEM_PWR_GWT_WAT,2034,0.0003
RE1,PHL_DEM_PWR_GWT_WAT,2035,0.0002
RE1,PHL_DEM_PWR_GWT_WAT,2036,0.0007
RE1,PHL_DEM_PWR_GWT_WAT,2037,0.0012
RE1,PHL_DEM_PWR_GWT_WAT,2038,0.0018
RE1,PHL_DEM_PWR_GWT_WAT,2039,0.0022
RE1,PHL_DEM_PWR_GWT_WAT,2040,0.0018
RE1,PHL_DEM_PWR_GWT_WAT,2041,0.0027
RE1,PHL_DEM_PWR_GWT_WAT,2042,0.0029
RE1,PHL_DEM_PWR_GWT_WAT,2043,0.0031
RE1,PHL_DEM_PWR_GWT_WAT,2044,0.0033
RE1,PHL_DEM_PWR_GWT_WAT,2045,0.0036
RE1,PHL_DEM_PWR_GWT_WAT,2046,0.0041
RE1,PHL_DEM_PWR_GWT_WAT,2047,0.0046
RE1,PHL_DEM_PWR_GWT_WAT,2048,0.005
RE1,PHL_DEM_PWR_GWT_WAT,2049,0.0055
RE1,PHL_DEM_PWR_GWT_WAT,2050,0.0057
RE1,PHL_DEM_PWR_GWT_WAT,2051,0.0059
RE1,PHL_DEM_PWR_GWT_WAT,2052,0.0063
RE1,PHL_DEM_PWR_GWT_WAT,2053,0.0063
RE1,PHL_DEM_PWR_SUR_WAT,2020,0.0021
RE1,PHL_DEM_PWR_SUR_WAT,2021,0.0017
RE1,PHL_DEM_PWR_SUR_WAT,2022,0.0019
RE1,PHL_DEM_PWR_SUR_WAT,2023,0.0018
RE1,PHL_DEM_PWR_SUR_WAT,2024,0.002
RE1,PHL_DEM_PWR_SUR_WAT,2025,0.0013
RE1,PHL_DEM_PWR_SUR_WAT,2026,0.0012
RE1,PHL_DEM_PWR_SUR_WAT,2027,0.0014
RE1,PHL_DEM_PWR_SUR_WAT,2028,0.0014
RE1,PHL_DEM_PWR_SUR_WAT,2029,0.0015
RE1,PHL_DEM_PWR_SUR_WAT,2030,0.002
RE1,PHL_DEM_PWR_SUR_WAT,2031,0.0018
RE1,PHL_DEM_PWR_SUR_WAT,2032,0.002
RE1,PHL_DEM_PWR_SUR_WAT,2033,0.0021
RE1,PHL_DEM_PWR_SUR_WAT,2034,0.0023
RE1,PHL_DEM_PWR_SUR_WAT,2035,0.0021
RE1,PHL_DEM_PWR_SUR_WAT,2036,0.0028
RE1,PHL_DEM_PWR_SUR_WAT,2037,0.0072
RE1,PHL_DEM_PWR_SUR_WAT,2038,0.0125
RE1,PHL_DEM_PWR_SUR_WAT,2039,0.0156
RE1,PHL_DEM_PWR_SUR_WAT,2040,0.0185
RE1,PHL_DEM_PWR_SUR_WAT,2041,0.0195
RE1,PHL_DEM_PWR_SUR_WAT,2042,0.0213
RE1,PHL_DEM_PWR_SUR_WAT,2043,0.0225
RE1,PHL_DEM_PWR_SUR_WAT,2044,0.0243
RE1,PHL_DEM_PWR_SUR_WAT,2045,0.0265
RE1,PHL_DEM_PWR_SUR_WAT,2046,0.0303
RE1,PHL_DEM_PWR_SUR_WAT,2047,0.035
RE1,PHL_DEM_PWR_SUR_WAT,2048,0.0379
RE1,PHL_DEM_PWR_SUR_WAT,2049,0.0421
RE1,PHL_DEM_PWR_SUR_WAT,2050,0.0433
RE1,PHL_DEM_PWR_SUR_WAT,2051,0.0453
RE1,PHL_DEM_PWR_SUR_WAT,2052,0.0502
RE1,PHL_DEM_PWR_SUR_WAT,2053,0.0477
RE1,PHL_DEM_PUB_GWT_WAT,2020,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2021,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2022,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2023,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2024,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2025,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2026,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2027,0.0001
RE1,PHL_DEM_PUB_GWT_WAT,2028,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2029,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2030,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2031,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2032,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2033,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2034,0.0003
RE1,PHL_DEM_PUB_GWT_WAT,2035,0.0003
RE1,PHL_DEM_PUB_GWT_WAT,2036,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2037,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2038,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2039,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2040,0.0007
RE1,PHL_DEM_PUB_GWT_WAT,2041,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2042,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2043,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2044,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2045,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2046,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2047,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2048,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2049,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2050,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2051,0.0
RE1,PHL_DEM_PUB_GWT_WAT,2052,0.0002
RE1,PHL_DEM_PUB_GWT_WAT,2053,0.0
RE1,PHL_DEM_PUB_SUR_WAT,2020,0.002
RE1,PHL_DEM_PUB_SUR_WAT,2021,0.002
RE1,PHL_DEM_PUB_SUR_WAT,2022,0.0021
RE1,PHL_DEM_PUB_SUR_WAT,2023,0.0022
RE1,PHL_DEM_PUB_SUR_WAT,2024,0.0023
RE1,PHL_DEM_PUB_SUR_WAT,2025,0.0024
RE1,PHL_DEM_PUB_SUR_WAT,2026,0.0025
RE1,PHL_DEM_PUB_SUR_WAT,2027,0.0024
RE1,PHL_DEM_PUB_SUR_WAT,2028,0.0026
RE1,PHL_DEM_PUB_SUR_WAT,2029,0.0027
RE1,PHL_DEM_PUB_SUR_WAT,2030,0.0029
RE1,PHL_DEM_PUB_SUR_WAT,2031,0.003
RE1,PHL_DEM_PUB_SUR_WAT,2032,0.0031
RE1,PHL_DEM_PUB_SUR_WAT,2033,0.0032
RE1,PHL_DEM_PUB_SUR_WAT,2034,0.003
RE1,PHL_DEM_PUB_SUR_WAT,2035,0.0031
RE1,PHL_DEM_PUB_SUR_WAT,2036,0.0036
RE1,PHL_DEM_PUB_SUR_WAT,2037,0.0037
RE1,PHL_DEM_PUB_SUR_WAT,2038,0.0038
RE1,PHL_DEM_PUB_SUR_WAT,2039,0.004
RE1,PHL_DEM_PUB_SUR_WAT,2040,0.0035
RE1,PHL_DEM_PUB_SUR_WAT,2041,0.0043
RE1,PHL_DEM_PUB_SUR_WAT,2042,0.0045
RE1,PHL_DEM_PUB_SUR_WAT,2043,0.0046
RE1,PHL_DEM_PUB_SUR_WAT,2044,0.0048
RE1,PHL_DEM_PUB_SUR_WAT,2045,0.005
RE1,PHL_DEM_PUB_SUR_WAT,2046,0.0052
RE1,PHL_DEM_PUB_SUR_WAT,2047,0.0053
RE1,PHL_DEM_PUB_SUR_WAT,2048,0.0055
RE1,PHL_DEM_PUB_SUR_WAT,2049,0.0057
RE1,PHL_DEM_PUB_SUR_WAT,2050,0.006
RE1,PHL_DEM_PUB_SUR_WAT,2051,0.0062
RE1,PHL_DEM_PUB_SUR_WAT,2052,0.0062
RE1,PHL_DEM_PUB_SUR_WAT,2053,0.0066
RE1,PHL_MIN_PRC,2020,9.9999
RE1,PHL_MIN_PRC,2021,0.0152
RE1,PHL_MIN_PRC,2022,0.0152
RE1,PHL_MIN_PRC,2023,0.0153
RE1,PHL_MIN_PRC,2024,0.0153
RE1,PHL_MIN_PRC,2025,0.0153
RE1,PHL_MIN_PRC,2026,0.0153
RE1,PHL_MIN_PRC,2027,0.0154
RE1,PHL_MIN_PRC,2028,0.0154
RE1,PHL_MIN_PRC,2029,0.0154
RE1,PHL_MIN_PRC,2030,0.0155
RE1,PHL_MIN_PRC,2031,0.0155
RE1,PHL_MIN_PRC,2032,0.0156
RE1,PHL_MIN_PRC,2033,0.016
RE1,PHL_MIN_PRC,2034,0.016
RE1,PHL_MIN_PRC,2035,0.016
RE1,PHL_MIN_PRC,2036,0.0178
RE1,PHL_MIN_PRC,2037,0.0254
RE1,PHL_MIN_PRC,2038,0.0346
RE1,PHL_MIN_PRC,2039,0.0399
RE1,PHL_MIN_PRC,2040,0.0439
RE1,PHL_MIN_PRC,2041,0.047
RE1,PHL_MIN_PRC,2042,0.0502
RE1,PHL_MIN_PRC,2043,0.0526
RE1,PHL_MIN_PRC,2044,0.0559
RE1,PHL_MIN_PRC,2045,0.06
RE1,PHL_MIN_PRC,2046,0.0666
RE1,PHL_MIN_PRC,2047,0.0747
RE1,PHL_MIN_PRC,2048,0.08
RE1,PHL_MIN_PRC,2049,0.0873
RE1,PHL_MIN_PRC,2050,0.0896
RE1,PHL_MIN_PRC,2051,0.0935
RE1,PHL_MIN_PRC,2052,0.1015
RE1,PHL_MIN_PRC,2053,0.0982
RE1,PHL_AGR_MOT_ELE,2020,0.0
RE1,PHL_AGR_MOT_ELE,2021,0.0
RE1,PHL_AGR_MOT_ELE,2022,0.0
RE1,PHL_AGR_MOT_ELE,2023,-0.0
RE1,PHL_AGR_MOT_ELE,2024,-0.0
RE1,PHL_AGR_MOT_ELE,2025,0.0
RE1,PHL_AGR_MOT_ELE,2026,-0.0
RE1,PHL_AGR_MOT_ELE,2027,-0.0
RE1,PHL_AGR_MOT_ELE,2028,-0.0
RE1,PHL_AGR_MOT_ELE,2029,-0.0
RE1,PHL_AGR_MOT_ELE,2030,0.0
RE1,PHL_AGR_MOT_ELE,2031,0.0
RE1,PHL_AGR_MOT_ELE,2032,0.0
RE1,PHL_AGR_MOT_ELE,2033,-0.0
RE1,PHL_AGR_MOT_ELE,2034,0.0
RE1,PHL_AGR_MOT_ELE,2035,0.0
RE1,PHL_AGR_MOT_ELE,2036,0.0
RE1,PHL_AGR_MOT_ELE,2037,0.0
RE1,PHL_AGR_MOT_ELE,2038,0.0
RE1,PHL_AGR_MOT_ELE,2039,-0.0
RE1,PHL_AGR_MOT_ELE,2040,0.0
RE1,PHL_AGR_MOT_ELE,2041,0.0
RE1,PHL_AGR_MOT_ELE,2042,0.0
RE1,PHL_AGR_MOT_ELE,2043,0.0
RE1,PHL_AGR_MOT_ELE,2044,-0.0
RE1,PHL_AGR_MOT_ELE,2045,-0.0
RE1,PHL_AGR_MOT_ELE,2046,0.0
RE1,PHL_AGR_MOT_ELE,2047,0.0
RE1,PHL_AGR_MOT_ELE,2048,0.0
RE1,PHL_AGR_MOT_ELE,2049,0.0
RE1,PHL_AGR_MOT_ELE,2050,0.0
RE1,PHL_AGR_MOT_ELE,2051,-0.0
RE1,PHL_AGR_MOT_ELE,2052,0.0
RE1,PHL_AGR_MOT_ELE,2053,0.0
RE1,PHL_AGR_MOT_LIQ,2020,0.0008
RE1,PHL_AGR_MOT_LIQ,2021,0.0008
RE1,PHL_AGR_MOT_LIQ,2022,0.0008
RE1,PHL_AGR_MOT_LIQ,2023,0.0008
RE1,PHL_AGR_MOT_LIQ,2024,0.0009
RE1,PHL_AGR_MOT_LIQ,2025,0.0009
RE1,PHL_AGR_MOT_LIQ,2026,0.0009
RE1,PHL_AGR_MOT_LIQ,2027,0.0009
RE1,PHL_AGR_MOT_LIQ,2028,0.0009
RE1,PHL_AGR_MOT_LIQ,2029,0.001
RE1,PHL_AGR_MOT_LIQ,2030,0.001
RE1,PHL_AGR_MOT_LIQ,2031,0.001
RE1,PHL_AGR_MOT_LIQ,2032,0.001
RE1,PHL_AGR_MOT_LIQ,2033,0.001
RE1,PHL_AGR_MOT_LIQ,2034,0.0011
RE1,PHL_AGR_MOT_LIQ,2035,0.0011
RE1,PHL_AGR_MOT_LIQ,2036,0.0011
RE1,PHL_AGR_MOT_LIQ,2037,0.0011
RE1,PHL_AGR_MOT_LIQ,2038,0.0012
RE1,PHL_AGR_MOT_LIQ,2039,0.0012
RE1,PHL_AGR_MOT_LIQ,2040,0.0012
RE1,PHL_AGR_MOT_LIQ,2041,0.0012
RE1,PHL_AGR_MOT_LIQ,2042,0.0013
RE1,PHL_AGR_MOT_LIQ,2043,0.0013
RE1,PHL_AGR_MOT_LIQ,2044,0.0013
RE1,PHL_AGR_MOT_LIQ,2045,0.0014
RE1,PHL_AGR_MOT_LIQ,2046,0.0014
RE1,PHL_AGR_MOT_LIQ,2047,0.0014
RE1,PHL_AGR_MOT_LIQ,2048,0.0015
RE1,PHL_AGR_MOT_LIQ,2049,0.0015
RE1,PHL_AGR_MOT_LIQ,2050,0.0015
RE1,PHL_AGR_MOT_LIQ,2051,0.0016
RE1,PHL_AGR_MOT_LIQ,2052,0.0016
RE1,PHL_AGR_MOT_LIQ,2053,0.0017
RE1,PHL_AGR_UNIT,2020,0.0009
RE1,PHL_AGR_UNIT,2021,0.001
RE1,PHL_AGR_UNIT,2022,0.001
RE1,PHL_AGR_UNIT,2023,0.001
RE1,PHL_AGR_UNIT,2024,0.001
RE1,PHL_AGR_UNIT,2025,0.001
RE1,PHL_AGR_UNIT,2026,0.0011
RE1,PHL_AGR_UNIT,2027,0.0011
RE1,PHL_AGR_UNIT,2028,0.0011
RE1,PHL_AGR_UNIT,2029,0.0011
RE1,PHL_AGR_UNIT,2030,0.0011
RE1,PHL_AGR_UNIT,2031,0.0012
RE1,PHL_AGR_UNIT,2032,0.0012
RE1,PHL_AGR_UNIT,2033,0.0012
RE1,PHL_AGR_UNIT,2034,0.0013
RE1,PHL_AGR_UNIT,2035,0.0013
RE1,PHL_AGR_UNIT,2036,0.0013
RE1,PHL_AGR_UNIT,2037,0.0013
RE1,PHL_AGR_UNIT,2038,0.0014
RE1,PHL_AGR_UNIT,2039,0.0014
RE1,PHL_AGR_UNIT,2040,0.0014
RE1,PHL_AGR_UNIT,2041,0.0015
RE1,PHL_AGR_UNIT,2042,0.0015
RE1,PHL_AGR_UNIT,2043,0.0015
RE1,PHL_AGR_UNIT,2044,0.0016
RE1,PHL_AGR_UNIT,2045,0.0016
RE1,PHL_AGR_UNIT,2046,0.0016
RE1,PHL_AGR_UNIT,2047,0.0017
RE1,PHL_AGR_UNIT,2048,0.0017
RE1,PHL_AGR_UNIT,2049,0.0018
RE1,PHL_AGR_UNIT,2050,0.0018
RE1,PHL_AGR_UNIT,2051,0.0019
RE1,PHL_AGR_UNIT,2052,0.0019
RE1,PHL_AGR_UNIT,2053,0.0019
RE1,PHL_AGR_FAC,2020,0.0009
RE1,PHL_AGR_FAC,2021,0.001
RE1,PHL_AGR_FAC,2022,0.001
RE1,PHL_AGR_FAC,2023,0.001
RE1,PHL_AGR_FAC,2024,0.001
RE1,PHL_AGR_FAC,2025,0.001
RE1,PHL_AGR_FAC,2026,0.0011
RE1,PHL_AGR_FAC,2027,0.0011
RE1,PHL_AGR_FAC,2028,0.0011
RE1,PHL_AGR_FAC,2029,0.0011
RE1,PHL_AGR_FAC,2030,0.0011
RE1,PHL_AGR_FAC,2031,0.0012
RE1,PHL_AGR_FAC,2032,0.0012
RE1,PHL_AGR_FAC,2033,0.0012
RE1,PHL_AGR_FAC,2034,0.0013
RE1,PHL_AGR_FAC,2035,0.0013
RE1,PHL_AGR_FAC,2036,0.0013
RE1,PHL_AGR_FAC,2037,0.0013
RE1,PHL_AGR_FAC,2038,0.0014
RE1,PHL_AGR_FAC,2039,0.0014
RE1,PHL_AGR_FAC,2040,0.0014
RE1,PHL_AGR_FAC,2041,0.0011
RE1,PHL_AGR_FAC,2042,0.001
RE1,PHL_AGR_FAC,2043,0.001
RE1,PHL_AGR_FAC,2044,0.0009
RE1,PHL_AGR_FAC,2045,0.0008
RE1,PHL_AGR_FAC,2046,0.0008
RE1,PHL_AGR_FAC,2047,0.0007
RE1,PHL_AGR_FAC,2048,0.0006
RE1,PHL_AGR_FAC,2049,0.0006
RE1,PHL_AGR_FAC,2050,0.0018
RE1,PHL_AGR_FAC,2051,0.0019
RE1,PHL_AGR_FAC,2052,0.0019
RE1,PHL_AGR_FAC,2053,0.0019
RE1,PHL_AGR_HEAT_OIL,2020,0.0001
RE1,PHL_AGR_HEAT_OIL,2021,0.0001
RE1,PHL_AGR_HEAT_OIL,2022,0.0001
RE1,PHL_AGR_HEAT_OIL,2023,0.0001
RE1,PHL_AGR_HEAT_OIL,2024,0.0001
RE1,PHL_AGR_HEAT_OIL,2025,0.0001
RE1,PHL_AGR_HEAT_OIL,2026,0.0001
RE1,PHL_AGR_HEAT_OIL,2027,0.0001
RE1,PHL_AGR_HEAT_OIL,2028,0.0001
RE1,PHL_AGR_HEAT_OIL,2029,0.0001
RE1,PHL_AGR_HEAT_OIL,2030,0.0001
RE1,PHL_AGR_HEAT_OIL,2031,0.0001
RE1,PHL_AGR_HEAT_OIL,2032,0.0001
RE1,PHL_AGR_HEAT_OIL,2033,0.0001
RE1,PHL_AGR_HEAT_OIL,2034,0.0001
RE1,PHL_AGR_HEAT_OIL,2035,0.0001
RE1,PHL_AGR_HEAT_OIL,2036,0.0001
RE1,PHL_AGR_HEAT_OIL,2037,0.0001
RE1,PHL_AGR_HEAT_OIL,2038,0.0001
RE1,PHL_AGR_HEAT_OIL,2039,0.0001
RE1,PHL_AGR_HEAT_OIL,2040,0.0001
RE1,PHL_AGR_HEAT_OIL,2041,0.0001
RE1,PHL_AGR_HEAT_OIL,2042,0.0001
RE1,PHL_AGR_HEAT_OIL,2043,0.0001
RE1,PHL_AGR_HEAT_OIL,2044,0.0001
RE1,PHL_AGR_HEAT_OIL,2045,0.0
RE1,PHL_AGR_HEAT_OIL,2046,0.0
RE1,PHL_AGR_HEAT_OIL,2047,0.0
RE1,PHL_AGR_HEAT_OIL,2048,0.0
RE1,PHL_AGR_HEAT_OIL,2049,0.0
RE1,PHL_AGR_HEAT_OIL,2050,0.0
RE1,PHL_AGR_HEAT_OIL,2051,0.0
RE1,PHL_AGR_HEAT_OIL,2052,0.0
RE1,PHL_AGR_HEAT_OIL,2053,0.0
RE1,PHL_AGR_HEAT_NG,2020,0.0008
RE1,PHL_AGR_HEAT_NG,2021,0.0008
RE1,PHL_AGR_HEAT_NG,2022,0.0008
RE1,PHL_AGR_HEAT_NG,2023,0.0008
RE1,PHL_AGR_HEAT_NG,2024,0.0009
RE1,PHL_AGR_HEAT_NG,2025,0.0009
RE1,PHL_AGR_HEAT_NG,2026,0.0009
RE1,PHL_AGR_HEAT_NG,2027,0.0009
RE1,PHL_AGR_HEAT_NG,2028,0.0009
RE1,PHL_AGR_HEAT_NG,2029,0.001
RE1,PHL_AGR_HEAT_NG,2030,0.001
RE1,PHL_AGR_HEAT_NG,2031,0.001
RE1,PHL_AGR_HEAT_NG,2032,0.001
RE1,PHL_AGR_HEAT_NG,2033,0.0011
RE1,PHL_AGR_HEAT_NG,2034,0.0011
RE1,PHL_AGR_HEAT_NG,2035,0.0011
RE1,PHL_AGR_HEAT_NG,2036,0.0011
RE1,PHL_AGR_HEAT_NG,2037,0.0012
RE1,PHL_AGR_HEAT_NG,2038,0.0012
RE1,PHL_AGR_HEAT_NG,2039,0.0012
RE1,PHL_AGR_HEAT_NG,2040,0.0013
RE1,PHL_AGR_HEAT_NG,2041,0.0012
RE1,PHL_AGR_HEAT_NG,2042,0.0011
RE1,PHL_AGR_HEAT_NG,2043,0.001
RE1,PHL_AGR_HEAT_NG,2044,0.0009
RE1,PHL_AGR_HEAT_NG,2045,0.0009
RE1,PHL_AGR_HEAT_NG,2046,0.0008
RE1,PHL_AGR_HEAT_NG,2047,0.0008
RE1,PHL_AGR_HEAT_NG,2048,0.0007
RE1,PHL_AGR_HEAT_NG,2049,0.0006
RE1,PHL_AGR_HEAT_NG,2050,0.0017
RE1,PHL_AGR_HEAT_NG,2051,0.0018
RE1,PHL_AGR_HEAT_NG,2052,0.0018
RE1,PHL_AGR_HEAT_NG,2053,0.0019
RE1,PHL_AGR_HEAT_ELE,2020,0.0
RE1,PHL_AGR_HEAT_ELE,2021,0.0
RE1,PHL_AGR_HEAT_ELE,2022,0.0
RE1,PHL_AGR_HEAT_ELE,2023,0.0
RE1,PHL_AGR_HEAT_ELE,2024,0.0
RE1,PHL_AGR_HEAT_ELE,2025,0.0
RE1,PHL_AGR_HEAT_ELE,2026,-0.0
RE1,PHL_AGR_HEAT_ELE,2027,0.0
RE1,PHL_AGR_HEAT_ELE,2028,0.0
RE1,PHL_AGR_HEAT_ELE,2029,0.0
RE1,PHL_AGR_HEAT_ELE,2030,0.0
RE1,PHL_AGR_HEAT_ELE,2031,0.0
RE1,PHL_AGR_HEAT_ELE,2032,0.0
RE1,PHL_AGR_HEAT_ELE,2033,0.0
RE1,PHL_AGR_HEAT_ELE,2034,0.0
RE1,PHL_AGR_HEAT_ELE,2035,0.0
RE1,PHL_AGR_HEAT_ELE,2036,0.0
RE1,PHL_AGR_HEAT_ELE,2037,0.0
RE1,PHL_AGR_HEAT_ELE,2038,0.0
RE1,PHL_AGR_HEAT_ELE,2039,0.0
RE1,PHL_AGR_HEAT_ELE,2040,0.0
RE1,PHL_AGR_HEAT_ELE,2041,0.0
RE1,PHL_AGR_HEAT_ELE,2042,0.0
RE1,PHL_AGR_HEAT_ELE,2043,0.0
RE1,PHL_AGR_HEAT_ELE,2044,0.0
RE1,PHL_AGR_HEAT_ELE,2045,0.0
RE1,PHL_AGR_HEAT_ELE,2046,0.0
RE1,PHL_AGR_HEAT_ELE,2047,0.0
RE1,PHL_AGR_HEAT_ELE,2048,0.0
RE1,PHL_AGR_HEAT_ELE,2049,0.0
RE1,PHL_AGR_HEAT_ELE,2050,0.0
RE1,PHL_AGR_HEAT_ELE,2051,0.0
RE1,PHL_AGR_HEAT_ELE,2052,0.0
RE1,PHL_AGR_HEAT_ELE,2053,0.0
RE1,PHL_AGR_HEAT_COAL,2020,0.0
RE1,PHL_AGR_HEAT_COAL,2021,0.0
RE1,PHL_AGR_HEAT_COAL,2022,0.0
RE1,PHL_AGR_HEAT_COAL,2023,0.0
RE1,PHL_AGR_HEAT_COAL,2024,0.0
RE1,PHL_AGR_HEAT_COAL,2025,0.0
RE1,PHL_AGR_HEAT_COAL,2026,0.0
RE1,PHL_AGR_HEAT_COAL,2027,0.0
RE1,PHL_AGR_HEAT_COAL,2028,0.0
RE1,PHL_AGR_HEAT_COAL,2029,0.0
RE1,PHL_AGR_HEAT_COAL,2030,0.0
RE1,PHL_AGR_HEAT_COAL,2031,0.0
RE1,PHL_AGR_HEAT_COAL,2032,0.0
RE1,PHL_AGR_HEAT_COAL,2033,0.0
RE1,PHL_AGR_HEAT_COAL,2034,0.0
RE1,PHL_AGR_HEAT_COAL,2035,0.0
RE1,PHL_AGR_HEAT_COAL,2036,0.0
RE1,PHL_AGR_HEAT_COAL,2037,0.0
RE1,PHL_AGR_HEAT_COAL,2038,0.0
RE1,PHL_AGR_HEAT_COAL,2039,0.0
RE1,PHL_AGR_HEAT_COAL,2040,0.0
RE1,PHL_AGR_HEAT_COAL,2041,0.0
RE1,PHL_AGR_HEAT_COAL,2042,0.0
RE1,PHL_AGR_HEAT_COAL,2043,0.0
RE1,PHL_AGR_HEAT_COAL,2044,0.0
